nom_machine;version
PC-David;Universal CRT Redistributable 10.0.26624
PC-David;Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 12.0.30501.0
PC-David;Windows SDK Desktop Tools arm64 10.1.19041.685
PC-David;Windows IoT Extension SDK 10.1.19041.685
PC-David;WinRT Intellisense UAP - en-us 10.1.19041.685
PC-David;Windows SDK for Windows Store Apps DirectX x86 Remote 10.1.19041.685
PC-David;Assistant d’installation de Windows 11 1.4.19041.5003
PC-David;Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005 12.0.21005
PC-David;WinRT Intellisense PPI - en-us 10.1.19041.685
PC-David;Windows SDK Desktop Libs x64 10.1.19041.685
PC-David;vs_CoreEditorFonts 17.7.40001
PC-David;vs_minshellmsires 17.14.36015
PC-David;Windows SDK Desktop Tools x86 10.1.19041.685
PC-David;Windows App Certification Kit x64 10.1.26100.3916
PC-David;Windows SDK for Windows Store Apps Libs 10.1.19041.685
PC-David;WinRT Intellisense IoT - Other Languages 10.1.19041.685
PC-David;vs_filehandler_amd64 17.14.36024
PC-David;vs_githubprotocolhandlermsi 17.14.36015
PC-David;Windows SDK for Windows Store Apps Contracts 10.1.19041.685
PC-David;Windows SDK Desktop Libs arm 10.1.19041.685
PC-David;WinAppDeploy 10.1.19041.685
PC-David;Windows SDK for Windows Store Apps 10.1.26100.3916
PC-David;Windows SDK for Windows Store Apps Metadata 10.1.19041.685
PC-David;Windows SDK Facade Windows WinMD Versioned 10.1.19041.685
PC-David;vs_communitymsires 17.14.36015
PC-David;Visual C++ Library CRT ARM64 Appx Package 14.44.35207
PC-David;WinRT Intellisense IoT - en-us 10.1.19041.685
PC-David;Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030 11.0.61030.0
PC-David;Windows App Certification Kit SupportedApiList x86 10.1.26100.3916
PC-David;Visual C++ Library CRT ARM64 Appx Package 14.44.35207
PC-David;Windows SDK Desktop Headers x86 10.1.19041.685
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532 14.36.32532.0
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.40.33816 14.40.33816.0
PC-David;Launcher Prerequisites (x64) 1.0.0.0
PC-David;WinRT Intellisense Mobile - en-us 10.1.19041.685
PC-David;Windows Software Development Kit - Windows 10.0.19041.685 10.1.19041.685
PC-David;Windows SDK Redistributables 10.1.26100.3916
PC-David;Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35208 14.44.35208
PC-David;Microsoft Visual Studio Setup WMI Provider 3.12.2140.44225
PC-David;Windows IoT Extension SDK Contracts 10.1.19041.685
PC-David;Windows SDK for Windows Store Apps Tools 10.1.19041.685
PC-David;Windows SDK Desktop Headers arm 10.1.19041.685
PC-David;Universal CRT Extension SDK 10.1.19041.685
PC-David;vs_minshellinteropsharedmsi 17.14.36015
PC-David;Python Launcher 3.13.3150.0
PC-David;Microsoft .NET Framework 4.7.2 SDK 4.7.03062
PC-David;Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35208 14.44.35208
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33810 14.40.33810.0
PC-David;Microsoft Visual C++ 2015-2019 Redistributable (x86) - 14.22.27821 14.22.27821.0
PC-David;Windows Team Extension SDK Contracts 10.1.19041.685
PC-David;Windows SDK DirectX x86 Remote 10.1.26100.3916
PC-David;Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.22.27821 14.22.27821.0
PC-David;HP Connection Optimizer 2.0.20.0
PC-David;Universal CRT Headers Libraries and Sources 10.1.19041.685
PC-David;vs_filehandler_x86 17.14.36024
PC-David;vs_communitysharedmsi 17.14.36025
PC-David;Windows Mobile Extension SDK 10.1.19041.685
PC-David;Universal CRT Tools x86 10.1.26100.3916
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.40.33816 14.40.33816.0
PC-David;Windows SDK 10.1.26100.3916
PC-David;Windows Mobile Extension SDK Contracts 10.1.19041.685
PC-David;MSI Development Tools 10.1.19041.685
PC-David;Windows SDK Desktop Libs x86 10.1.19041.685
PC-David;Kits Configuration Installer 10.1.26100.3916
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34433 14.42.34433.0
PC-David;WinRT Intellisense UAP - Other Languages 10.1.19041.685
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.36.32532 14.36.32532.0
PC-David;vcpp_crt.redist.clickonce 14.44.35112
PC-David;Windows SDK Modern Non-Versioned Developer Tools 10.1.26100.3916
PC-David;Windows SDK for Windows Store Apps Headers 10.1.19041.685
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.44.35208 14.44.35208.0
PC-David;Windows SDK ARM Desktop Tools 10.1.19041.685
PC-David;Windows SDK Desktop Libs arm64 10.1.19041.685
PC-David;vs_vswebprotocolselectormsi 17.14.36015
PC-David;Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.60610 11.0.60610.1
PC-David;SDK Microsoft .NET Framework 4.7.2 (Français) 4.7.03062
PC-David;Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610 11.0.60610.1
PC-David;vs_minshellinteropmsi 17.14.36015
PC-David;Windows Desktop Extension SDK Contracts 10.1.19041.685
PC-David;Windows SDK EULA 10.1.19041.685
PC-David;Universal CRT Redistributable 10.1.19041.685
PC-David;Universal General MIDI DLS Extension SDK 10.1.19041.685
PC-David;EA app 13.550.0.6063
PC-David;Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030 11.0.61030
PC-David;Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35112 14.44.35112
PC-David;WinRT Intellisense Desktop - Other Languages 10.1.19041.685
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.42.34438 14.42.34438.0
PC-David;Windows SDK Signing Tools 10.1.19041.685
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34438 14.42.34438.0
PC-David;WinRT Intellisense Desktop - en-us 10.1.19041.685
PC-David;Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030 11.0.61030
PC-David;vs_vswebprotocolselectormsires 17.14.36015
PC-David;Windows SDK Desktop Headers x64 10.1.19041.685
PC-David;Windows SDK Desktop Headers arm64 10.1.19041.685
PC-David;vs_minshellmsi 17.14.36015
PC-David;Windows Team Extension SDK 10.1.19041.685
PC-David;Microsoft Visual Studio Setup Configuration 3.12.2140.44225
PC-David;vs_FileTracker_Singleton 17.14.36015
PC-David;Windows Desktop Extension SDK 10.1.19041.685
PC-David;Windows SDK AddOn 10.1.0.0
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.42.34433 14.42.34433.0
PC-David;Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.44.35208 14.44.35208.0
PC-David;Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219 10.0.40219
PC-David;Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501 12.0.30501.0
PC-David;vs_minshellsharedmsi 17.14.36024
PC-David;Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005 12.0.21005
PC-David;Windows SDK Desktop Tools x64 10.1.19041.685
PC-David;Windows SDK Modern Versioned Developer Tools 10.1.19041.685
PC-David;WinRT Intellisense PPI - Other Languages 10.1.19041.685
PC-David;Windows SDK for Windows Store Managed Apps Libs 10.1.19041.685
